# NedoTokenizer 20 GB candidate vocabulary
# NDSRF004 / RootSuffixByteBpe / max_token_bytes=48 / min_frequency=100
# columns: id	type	text	hex
0	special	<PAD>	-
1	special	<BOS>	-
2	special	<EOS>	-
3	base-byte	"\u0000"	00
4	base-byte	"\u0001"	01
5	base-byte	"\u0002"	02
6	base-byte	"\u0003"	03
7	base-byte	"\u0004"	04
8	base-byte	"\u0005"	05
9	base-byte	"\u0006"	06
10	base-byte	"\u0007"	07
11	base-byte	"\b"	08
12	base-byte	"\t"	09
13	base-byte	"\n"	0A
14	base-byte	"\u000b"	0B
15	base-byte	"\f"	0C
16	base-byte	"\r"	0D
17	base-byte	"\u000e"	0E
18	base-byte	"\u000f"	0F
19	base-byte	"\u0010"	10
20	base-byte	"\u0011"	11
21	base-byte	"\u0012"	12
22	base-byte	"\u0013"	13
23	base-byte	"\u0014"	14
24	base-byte	"\u0015"	15
25	base-byte	"\u0016"	16
26	base-byte	"\u0017"	17
27	base-byte	"\u0018"	18
28	base-byte	"\u0019"	19
29	base-byte	"\u001a"	1A
30	base-byte	"\u001b"	1B
31	base-byte	"\u001c"	1C
32	base-byte	"\u001d"	1D
33	base-byte	"\u001e"	1E
34	base-byte	"\u001f"	1F
35	base-byte	" "	20
36	base-byte	"!"	21
37	base-byte	"\""	22
38	base-byte	"#"	23
39	base-byte	"$"	24
40	base-byte	"%"	25
41	base-byte	"&"	26
42	base-byte	"'"	27
43	base-byte	"("	28
44	base-byte	")"	29
45	base-byte	"*"	2A
46	base-byte	"+"	2B
47	base-byte	","	2C
48	base-byte	"-"	2D
49	base-byte	"."	2E
50	base-byte	"/"	2F
51	base-byte	"0"	30
52	base-byte	"1"	31
53	base-byte	"2"	32
54	base-byte	"3"	33
55	base-byte	"4"	34
56	base-byte	"5"	35
57	base-byte	"6"	36
58	base-byte	"7"	37
59	base-byte	"8"	38
60	base-byte	"9"	39
61	base-byte	":"	3A
62	base-byte	";"	3B
63	base-byte	"<"	3C
64	base-byte	"="	3D
65	base-byte	">"	3E
66	base-byte	"?"	3F
67	base-byte	"@"	40
68	base-byte	"A"	41
69	base-byte	"B"	42
70	base-byte	"C"	43
71	base-byte	"D"	44
72	base-byte	"E"	45
73	base-byte	"F"	46
74	base-byte	"G"	47
75	base-byte	"H"	48
76	base-byte	"I"	49
77	base-byte	"J"	4A
78	base-byte	"K"	4B
79	base-byte	"L"	4C
80	base-byte	"M"	4D
81	base-byte	"N"	4E
82	base-byte	"O"	4F
83	base-byte	"P"	50
84	base-byte	"Q"	51
85	base-byte	"R"	52
86	base-byte	"S"	53
87	base-byte	"T"	54
88	base-byte	"U"	55
89	base-byte	"V"	56
90	base-byte	"W"	57
91	base-byte	"X"	58
92	base-byte	"Y"	59
93	base-byte	"Z"	5A
94	base-byte	"["	5B
95	base-byte	"\\"	5C
96	base-byte	"]"	5D
97	base-byte	"^"	5E
98	base-byte	"_"	5F
99	base-byte	"`"	60
100	base-byte	"a"	61
101	base-byte	"b"	62
102	base-byte	"c"	63
103	base-byte	"d"	64
104	base-byte	"e"	65
105	base-byte	"f"	66
106	base-byte	"g"	67
107	base-byte	"h"	68
108	base-byte	"i"	69
109	base-byte	"j"	6A
110	base-byte	"k"	6B
111	base-byte	"l"	6C
112	base-byte	"m"	6D
113	base-byte	"n"	6E
114	base-byte	"o"	6F
115	base-byte	"p"	70
116	base-byte	"q"	71
117	base-byte	"r"	72
118	base-byte	"s"	73
119	base-byte	"t"	74
120	base-byte	"u"	75
121	base-byte	"v"	76
122	base-byte	"w"	77
123	base-byte	"x"	78
124	base-byte	"y"	79
125	base-byte	"z"	7A
126	base-byte	"{"	7B
127	base-byte	"|"	7C
128	base-byte	"}"	7D
129	base-byte	"~"	7E
130	base-byte	""	7F
131	base-byte	"\x80"	80
132	base-byte	"\x81"	81
133	base-byte	"\x82"	82
134	base-byte	"\x83"	83
135	base-byte	"\x84"	84
136	base-byte	"\x85"	85
137	base-byte	"\x86"	86
138	base-byte	"\x87"	87
139	base-byte	"\x88"	88
140	base-byte	"\x89"	89
141	base-byte	"\x8A"	8A
142	base-byte	"\x8B"	8B
143	base-byte	"\x8C"	8C
144	base-byte	"\x8D"	8D
145	base-byte	"\x8E"	8E
146	base-byte	"\x8F"	8F
147	base-byte	"\x90"	90
148	base-byte	"\x91"	91
149	base-byte	"\x92"	92
150	base-byte	"\x93"	93
151	base-byte	"\x94"	94
152	base-byte	"\x95"	95
153	base-byte	"\x96"	96
154	base-byte	"\x97"	97
155	base-byte	"\x98"	98
